City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
486,ulundi,-28.3352,31.4162,17.48,32,0,2.79,ZA,1715142303
487,ovalle,-30.5983,-71.2003,12.16,69,100,2.72,CL,1715142304
488,boa vista,2.8197,-60.6733,24.99,94,40,1.03,BR,1715142304
489,mukalla,14.5425,49.1242,28.66,75,6,3.03,YE,1715142304
490,cassano d'adda,45.5236,9.514,14.21,96,96,1.22,IT,1715142304
491,chegdomyn,51.1167,133.0167,21.66,22,53,4.44,RU,1715142305
492,meadow lake,34.8014,-106.5436,19.71,11,0,6.7,US,1715142305
493,inverell,-29.7833,151.1167,24.81,53,38,1.34,AU,1715142305
494,dakhla,23.6848,-15.958,18.3,87,6,7.55,EH,1715142305
495,almodovar del rio,37.8336,-5.0167,14.49,58,20,3.6,ES,1715142305
496,hailey,43.5196,-114.3153,4.92,38,0,4.63,US,1715142305
497,santander jimenez,24.2167,-98.4667,26.31,85,100,4.14,MX,1715142306
498,ta`u,-14.2336,-169.5144,29.25,78,97,3.92,AS,1715142306
499,roccella ionica,38.322,16.4009,17.38,69,99,0.85,IT,1715142306
500,bugana,7.9992,7.5836,26.34,73,100,1.4,NG,1715142306
501,tangalle,6.024,80.7911,33.09,61,72,2.25,LK,1715142306
502,eyl,7.9803,49.8164,28.88,75,8,2.18,SO,1715142307
503,as sulayyil,20.4607,45.5779,26.14,19,3,2.8,SA,1715142307
504,olinda,-8.0089,-34.8553,24.85,100,75,2.57,BR,1715142307
505,villa la angostura,-40.7617,-71.6463,0.8,95,100,3.81,AR,1715142307
506,crane,31.3974,-102.3501,26.73,15,70,2.62,US,1715142308
507,nyurba,63.2842,118.3319,1.9,86,100,5.8,RU,1715142308
508,santiago,-33.4569,-70.6483,8.11,88,0,3.09,CL,1715141832
509,shalkar,47.8288,59.6258,18.16,43,100,9.95,KZ,1715142308
510,angaur state,6.906,134.13,28.6,75,97,4.64,PW,1715142308
511,miramichi,47.0043,-65.4654,3.49,86,10,2.4,CA,1715142308
512,pangody,65.85,74.4859,-5.28,92,96,7.63,RU,1715142309
513,n'zeto,-7.2312,12.8666,24.72,95,98,3.42,AO,1715142309
514,santa ines,-3.6667,-45.38,23.54,89,42,1.29,BR,1715142309
515,nieuw amsterdam,5.8833,-55.0833,26.09,87,100,3.59,SR,1715142309
516,kinkala,-4.3614,14.7644,22.09,93,51,0.85,CG,1715142309
517,malvan,16.0667,73.4667,29.52,68,2,3.93,IN,1715142310
518,ormara,25.2088,64.6357,27.65,78,0,2.81,PK,1715142310
519,alingsas,57.9303,12.5335,9.14,79,88,1.99,SE,1715142310
520,tarapur,19.85,72.7,29.58,65,1,3.42,IN,1715142311
521,tokar,18.4254,37.729,26.26,60,8,3.96,SD,1715142311
522,al ghayzah,16.2079,52.176,29.74,70,0,3.45,YE,1715142311
523,yung shue wan,22.2333,114.1167,28.22,78,100,3.6,HK,1715142312
524,jingzhou,30.3503,112.1903,29.54,38,98,3.46,CN,1715142312
525,middelburg,-25.7751,29.4648,11.78,31,0,2.16,ZA,1715142312
526,debre birhan,9.6833,39.5333,12.27,85,74,1.38,ET,1715142312
527,ponta delgada,37.7333,-25.6667,18.44,94,75,3.09,PT,1715142312
528,ibarreta,-25.2144,-59.8585,29.41,47,74,5.33,AR,1715142313
529,chilakalurupet,16.0833,80.1667,31.56,55,85,3.22,IN,1715142313
530,pozzallo,36.7305,14.8499,16.36,59,100,3.91,IT,1715142313
531,tofol,5.3248,163.0078,29.88,74,75,7.72,FM,1715142313
532,barika,35.389,5.3658,16.32,61,0,3.4,DZ,1715142313
533,nurota,40.5614,65.6886,29.75,23,82,3.03,UZ,1715142314
534,kalevala,65.2,31.1667,-4.95,87,99,3.13,RU,1715142314
535,chinchilla,-26.75,150.6333,23.34,55,3,1.79,AU,1715142314
